Screen title @ Exact,ID,Region,Release date,Developer,Tags,MAME filename,MD5,SHA1,SHA256,SHA512
Cadillacs Kyōryū Shinseiki@Cadillacs 恐竜新世紀,cadillacsanddinosaurs,Japan,1993-02-01,CAPCOM,#way:8 #buttons:2 #players:3 #multiplayer:coop #genre:brawler #licensed #cps:cpsdash,dinoj.zip|dino.zip,981b8ac9083b679da4408170c2af4fcf,a1e2df98e49cd2e4ae5d56c24b9a0f302b38d74e,06a2fe22b069612c54a4d58d4c0333549096cd0ee27439621203478c14bcbc53,c1310dd1ebac8331e6935d5bbd9f17b23d6cda0a7e1fff2c4bf20eda419db06ca5c8fb5dcf1330a2015e3bafc99917eababf00fb7343f729dbc92819f186ddd8
Cadillacs and Dinosaurs,cadillacsanddinosaurs,Taiwan,1993-02-23,CAPCOM,#way:8 #buttons:2 #players:3 #multiplayer:coop #genre:brawler #licensed #cps:cpsdash,dinoa.zip|dino.zip,981b8ac9083b679da4408170c2af4fcf,a1e2df98e49cd2e4ae5d56c24b9a0f302b38d74e,06a2fe22b069612c54a4d58d4c0333549096cd0ee27439621203478c14bcbc53,c1310dd1ebac8331e6935d5bbd9f17b23d6cda0a7e1fff2c4bf20eda419db06ca5c8fb5dcf1330a2015e3bafc99917eababf00fb7343f729dbc92819f186ddd8
Cadillacs and Dinosaurs,cadillacsanddinosaurs,USA,1993-02-01,CAPCOM,#way:8 #buttons:2 #players:3 #multiplayer:coop #genre:brawler #licensed #cps:cpsdash,dinou.zip|dino.zip,981b8ac9083b679da4408170c2af4fcf,a1e2df98e49cd2e4ae5d56c24b9a0f302b38d74e,06a2fe22b069612c54a4d58d4c0333549096cd0ee27439621203478c14bcbc53,c1310dd1ebac8331e6935d5bbd9f17b23d6cda0a7e1fff2c4bf20eda419db06ca5c8fb5dcf1330a2015e3bafc99917eababf00fb7343f729dbc92819f186ddd8
Cadillacs and Dinosaurs,cadillacsanddinosaurs,World,1993-02-01,CAPCOM,#way:8 #buttons:2 #players:3 #multiplayer:coop #genre:brawler #licensed #cps:cpsdash #mameparent,dino.zip,981b8ac9083b679da4408170c2af4fcf,a1e2df98e49cd2e4ae5d56c24b9a0f302b38d74e,06a2fe22b069612c54a4d58d4c0333549096cd0ee27439621203478c14bcbc53,c1310dd1ebac8331e6935d5bbd9f17b23d6cda0a7e1fff2c4bf20eda419db06ca5c8fb5dcf1330a2015e3bafc99917eababf00fb7343f729dbc92819f186ddd8
Muscle Bomber: The Body Explosion,musclebomber,Japan,1993-07-13,CAPCOM,#way:8 #buttons:3 #players:4 #multiplayer:vs #genre:fighting:sports>wrestling #cps:cpsdash,mbomberj.zip|slammast.zip,c328f51f9b980aae0f3d8965228b4e5d,919c0735a98aeb627c95cd812e2994f9a5549b77,5077d04eaa67b1b768b3d74340be20d465827229588a754bde05ba96d06ce325,e7de927a5a0cfd903cb2efd145d1a17a83daf5ca98b862f55da10a67ee6f0a504cc4a2cbf3d3fdab39933da156d1c398e749299736676a4db9157e8873cc489b
Saturday Night Slam Masters,musclebomber,USA,1993-07-13,CAPCOM,#way:8 #buttons:3 #players:4 #multiplayer:vs #genre:fighting:sports>wrestling #cps:cpsdash,slammastu.zip|slammast.zip,c328f51f9b980aae0f3d8965228b4e5d,919c0735a98aeb627c95cd812e2994f9a5549b77,5077d04eaa67b1b768b3d74340be20d465827229588a754bde05ba96d06ce325,e7de927a5a0cfd903cb2efd145d1a17a83daf5ca98b862f55da10a67ee6f0a504cc4a2cbf3d3fdab39933da156d1c398e749299736676a4db9157e8873cc489b
Saturday Night Slam Masters,musclebomber,World,1993-07-13,CAPCOM,#way:8 #buttons:3 #players:4 #multiplayer:vs #genre:fighting:sports>wrestling #cps:cpsdash #mameparent,slammast.zip,c328f51f9b980aae0f3d8965228b4e5d,919c0735a98aeb627c95cd812e2994f9a5549b77,5077d04eaa67b1b768b3d74340be20d465827229588a754bde05ba96d06ce325,e7de927a5a0cfd903cb2efd145d1a17a83daf5ca98b862f55da10a67ee6f0a504cc4a2cbf3d3fdab39933da156d1c398e749299736676a4db9157e8873cc489b
Muscle Bomber Duo: Heat Up Warriors,musclebomberduo,Japan,1993-12-06,CAPCOM,#way:8 #buttons:3 #players:4 #multiplayer:vs #genre:fighting:sports>wrestling #cps:cpsdash,mbombrdj.zip|mbombrd.zip,64bc42f64289b0c4b3cac2e9c3507071,ca753b5b51e0e6decedb8997a9c7847391bbf8e0,fad6ec9483ad56e39209e507d943934cf0a74b933e95a24ed2d017ff768a8856,8f132b0bc7a536f9b031c6b1f91fc2f86fac7e71fd798842c6931cced6c948c52494e6c1ea4e788bc81c2ce5065d20f576d0182cf1d3d6d5eb0fb564cdb9d7a9
Muscle Bomber Duo: Ultimate Team Battle,musclebomberduo,World,1993-12-06,CAPCOM,#way:8 #buttons:3 #players:4 #multiplayer:vs #genre:fighting:sports>wrestling #cps:cpsdash #mameparent,mbombrd.zip,64bc42f64289b0c4b3cac2e9c3507071,ca753b5b51e0e6decedb8997a9c7847391bbf8e0,fad6ec9483ad56e39209e507d943934cf0a74b933e95a24ed2d017ff768a8856,8f132b0bc7a536f9b031c6b1f91fc2f86fac7e71fd798842c6931cced6c948c52494e6c1ea4e788bc81c2ce5065d20f576d0182cf1d3d6d5eb0fb564cdb9d7a9
Tenchi wo Kurau II: Sekiheki no Tatakai@天地を喰らうII 赤壁の戦い,tenchiwokurau2,Japan,1992-10-31,CAPCOM,#way:8 #buttons:2 #players:3 #multiplayer:coop #genre:brawler $manganime #cps:cpsdash,wofj.zip|wof.zip,e0e7203b290a6a62d47dc0a7de2aab1b,72ae431e37e783d0cb84f0da6440a40203906b4d,75454b4bc15048eba4f1f815b3d5924a9e06382763100a683a78718b631067b6,da3b78d4eb19cb1a8900e72165fd7cb6329a0282c0fcd547fc34c4cc16d941af88d9b1a6daca6b3c181529ebf2d6c221e96649712b6c23c958fd81256e8fdb90
Sangokushi II@三国志II,tenchiwokurau2,Asia,1992-10-05,CAPCOM,#way:8 #buttons:2 #players:3 #multiplayer:coop #genre:brawler $manganime #cps:cpsdash,wofa.zip|wof.zip,e0e7203b290a6a62d47dc0a7de2aab1b,72ae431e37e783d0cb84f0da6440a40203906b4d,75454b4bc15048eba4f1f815b3d5924a9e06382763100a683a78718b631067b6,da3b78d4eb19cb1a8900e72165fd7cb6329a0282c0fcd547fc34c4cc16d941af88d9b1a6daca6b3c181529ebf2d6c221e96649712b6c23c958fd81256e8fdb90
Warriors of Fate,tenchiwokurau2,USA,1992-10-31,CAPCOM,#way:8 #buttons:2 #players:3 #multiplayer:coop #genre:brawler #cps:cpsdash,wofu.zip|wof.zip,e0e7203b290a6a62d47dc0a7de2aab1b,72ae431e37e783d0cb84f0da6440a40203906b4d,75454b4bc15048eba4f1f815b3d5924a9e06382763100a683a78718b631067b6,da3b78d4eb19cb1a8900e72165fd7cb6329a0282c0fcd547fc34c4cc16d941af88d9b1a6daca6b3c181529ebf2d6c221e96649712b6c23c958fd81256e8fdb90
Warriors of Fate,tenchiwokurau2,World,1992-10-02,CAPCOM,#way:8 #buttons:2 #players:3 #multiplayer:coop #genre:brawler #cps:cpsdash,wofr1.zip|wof.zip,e0e7203b290a6a62d47dc0a7de2aab1b,72ae431e37e783d0cb84f0da6440a40203906b4d,75454b4bc15048eba4f1f815b3d5924a9e06382763100a683a78718b631067b6,da3b78d4eb19cb1a8900e72165fd7cb6329a0282c0fcd547fc34c4cc16d941af88d9b1a6daca6b3c181529ebf2d6c221e96649712b6c23c958fd81256e8fdb90
Warriors of Fate,tenchiwokurau2,World,1992-10-31,CAPCOM,#way:8 #buttons:2 #players:3 #multiplayer:coop #genre:brawler #cps:cpsdash #mameparent,wof.zip,e0e7203b290a6a62d47dc0a7de2aab1b,72ae431e37e783d0cb84f0da6440a40203906b4d,75454b4bc15048eba4f1f815b3d5924a9e06382763100a683a78718b631067b6,da3b78d4eb19cb1a8900e72165fd7cb6329a0282c0fcd547fc34c4cc16d941af88d9b1a6daca6b3c181529ebf2d6c221e96649712b6c23c958fd81256e8fdb90
The Punisher,thepunisher,Japan,1993-04-22,CAPCOM,#way:8 #buttons:2 #players:2 #multiplayer:coop #genre:brawler #licensed #cps:cpsdash,punisherj.zip|punisher.zip,bd72dd42a354f210c23b790ec83ea08d,ed7fe2e248f26d0c28c47a6f1247475e76df1db8,28ac6351db503ef04cb86702e9a37a67e323c16e8a040094581fa66bc06b2850,ee8b4b14ce82c3be7f66b483e7bf331a13291b686cde671df2a6b5527122c1b936458af5b1961f7c18fcfdb7efaa1cebe0843b09a479bc065000f3c3fd10549d
The Punisher,thepunisher,USA,1993-04-22,CAPCOM,#way:8 #buttons:2 #players:2 #multiplayer:coop #genre:brawler #licensed #cps:cpsdash,punisheru.zip|punisher.zip,bd72dd42a354f210c23b790ec83ea08d,ed7fe2e248f26d0c28c47a6f1247475e76df1db8,28ac6351db503ef04cb86702e9a37a67e323c16e8a040094581fa66bc06b2850,ee8b4b14ce82c3be7f66b483e7bf331a13291b686cde671df2a6b5527122c1b936458af5b1961f7c18fcfdb7efaa1cebe0843b09a479bc065000f3c3fd10549d
The Punisher,thepunisher,Hispanic,1993-04-22,CAPCOM,#way:8 #buttons:2 #players:2 #multiplayer:coop #genre:brawler #licensed #cps:cpsdash,punisherh.zip|punisher.zip,bd72dd42a354f210c23b790ec83ea08d,ed7fe2e248f26d0c28c47a6f1247475e76df1db8,28ac6351db503ef04cb86702e9a37a67e323c16e8a040094581fa66bc06b2850,ee8b4b14ce82c3be7f66b483e7bf331a13291b686cde671df2a6b5527122c1b936458af5b1961f7c18fcfdb7efaa1cebe0843b09a479bc065000f3c3fd10549d
The Punisher,thepunisher,World,1993-04-22,CAPCOM,#way:8 #buttons:2 #players:2 #multiplayer:coop #genre:brawler #licensed #cps:cpsdash #mameparent,punisher.zip,bd72dd42a354f210c23b790ec83ea08d,ed7fe2e248f26d0c28c47a6f1247475e76df1db8,28ac6351db503ef04cb86702e9a37a67e323c16e8a040094581fa66bc06b2850,ee8b4b14ce82c3be7f66b483e7bf331a13291b686cde671df2a6b5527122c1b936458af5b1961f7c18fcfdb7efaa1cebe0843b09a479bc065000f3c3fd10549d
