Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Dezaemon DD@デザエモン DD,,dezaemondd,Japan,,Athena,Athena,#players:1 #genre:notagame>application #addon:peripheral>64dd:expansion>expasionpak:vibration>rumblepak #lang:ja #unfinished:proto,40aa8ec52c5e025d6c6ad94cebc2218f,f0b3e6c0a944118e4a8ee8ea54da1b103b754241,88867a327ea260f5ac02266478fdafe6ab962ee55edeceb34c75b09ea7274c01,e6778583d6a6e77b0ac86e4e84ed32133d9cf612658c5429b3b1d0b20d40b3bcf440a7eb446710539d5bfe1e480cbd7eb994cebd60967c2b23d4688ff7cb01dd 
F-Zero X: 64DD@F-Zero X エフゼロ エックス 64DD,F-Zero X: Expansion Kit@F-Zero X エフゼロ エックス Expansion Kit エクスパンション　キット,fzeroxek,Japan,2000-04-21,Nintendo,Nintendo,#players:4:vs #genre:racing #addon:peripheral>64dd:expansion>expasionpak:vibration>rumblepak:online>randnetmodem #lang:ja,cb2fb00c3921245ae04bb38ba01abe92,7e8badf857f1fce8aa59307c0fd318128c44418b,16b3cff9eef2b621207223c839a4e030c3c4f21a3c8da7eb15f4784cb73b200e,ecd9ada1932afa27ec8cbf90e29da52a233bc77cff06c7afd88fc17949dcaad826a8b1e61e3747ad606187e1cf168739371ba021d7a9d72ee1e8b49025e230c4
Kyojin no Doshin 1@巨人のドシン1,Kyojin no Doshin 1@巨人のドシン1,kyojinnodoushin1,Japan,1999-12-11,Randnet,RandnetDD,#players:1 #genre:sim>god #addon:peripheral>64dd:expansion>expasionpak:vibration>rumblepak:online>randnetmodem #lang:ja,e8eb810d996e12cd6c47445f87a94c72,3e7eb70138213cc944952c4c659285f729b1fe1a,d9044b187c5545f8f791bafb8821c3dd365fb822cc6dc893b8792e8ecce56450,340876a408d630e5aa2050d77b3d3bece1ebc266f069765c6b58afb688d2009e851960de2c81d2f0cc1bd09bece4395857cdb8335a46eee36a8b049f612aba48
Kyojin no Doshin 1@巨人のドシン1,Kyojin no Doshin 1@巨人のドシン1,kyojinnodoushin1,Japan,,Randnet,RandnetDD,#players:1 #genre:sim>god #addon:peripheral>64dd:expasionpak:vibration>rumblepak:online>randnetmodem #lang:ja #unfinished:demo>kiosk,afe059ae1210751b6c849cfb482c99dd,2a73aced8fded7a6422fa322d8ff76f6045c687f,01dbbc71d4fd2c3cfe6dd85b869eb66d9f5eeadde640fa641ae0a3ff38698001,891ec4e331cce718342265d990fd17a1459734a7a7fb2bbe83d6aded1e4e76cb576b315d89b3f59c6a1333164b4b42ecc11f95a3beeb85dac3ac1bd15154a4aa
Kyojin no Doshin: Kaihō Sensen Chibikko Chikko Daishūgō@巨人のドシン 解放戦線チビッコチッコ大集合,Kyojin no Doshin: Kaihō Sensen Chibikko Chikko Daishūgō@巨人のドシン 解放戦線チビッコチッコ大集合,kyojinnodoushinksccd,Japan,2000-05-17,Randnet,RandnetDD,#players:1 #genre:action:puzzle #addon:peripheral>64dd:expansion>expasionpak:vibration>rumblepak:online>randnetmodem #lang:ja,fcca9af8c1174c40b478ea0e02673b16,9412f12cb67acd3534d1bbe511b42738b64f94bf,51b9506e31ba0b199c3c67b67fd5f875bcfcb557ac0c220ef86ee7e928d9163a,da3c7ed7f90c877f9ced74a6f0a45473acc54c4fa085d8a209a71ce8286558aa2e7ea25ede114f5c20fcad658a441e69511677ad18c51254a8889b49b83abb49
Mario Artist: Communication Kit@マリオアーティスト コミュニケーションキット,Mario Artist: Communication Kit@Mario Artist マリオアーティスト コミュニケーションキット,marioartistcommunicationkit,Japan,2000-06-29,Nintendo,Nintendo,#players:1 #genre:notagame>application #addon:peripheral>64dd:expansion>expasionpak:online>randnetmodem:capturecassette:mouse>n64 #save:backup #search:feature>mario #lang:ja,114af722029d6386c3bfea4cc8fa603c,8040dcd657227463b840f47f3e24a7f42945e1f8,f6173909321f576d59f4360f606b0107e059cca754b1c1666b703265442dbcb0,599e9b265eb608cab502d05189cf26fa35e092d50163dc032a6960b2fa456383c3e97eb388b3799b3259bab7380c2193c98af69b1123c866c359823312c1c75e
Mario Artist: Paint Studio@マリオアーティスト ペイント　スタジオ,Mario Artist: Paint Studio@Mario Artist マリオアーティスト ペイント　スタジオ,marioartistpaintstudio,Japan,1999-12-11,Nintendo,Nintendo,#players:4:vs #genre:notagame>drawing #addon:peripheral>64dd:expansion>expasionpak:lockon>transferpak:pocketcamera:capturecassette:mouse>n64 #save:backup #search:feature>mario #lang:ja,8485643e5830cd67ed4c0a5fd49e2491,9997e6f118c72f265eb648f18faa48c3a416fb3b,6b3c4fcd6c89370a9e7ffa0130282f20897f96f5ed5a1f634f82a546850b6c2a,95e1544e50eb16d44c6ef8422351f91de101518312f1841e11a3ef37fccda4d3950f88a56adec5c79bacc563c555470885abd534f544bc0be2b91b7edc4928a6
Mario Artist: Paint Studio@マリオアーティスト ペイント　スタジオ,Mario Artist: Paint Studio@Mario Artist マリオアーティスト ペイント　スタジオ,marioartistpaintstudio,Japan,1999-02-11,Nintendo,Nintendo,#players:4:vs #genre:notagame>drawing #addon:peripheral>64dd:expansion>expasionpak:lockon>transferpak:pocketcamera:capturecassette:mouse>n64 #save:backup #search:feature>mario #lang:ja #unfinished:beta,a76b619ec832a7e2abcfbdfeb5375e39,ddeaf740aadd928a9bbf9cfeaec4c0ea80b75ab2,22377df1d320bca95bb82732b4fca4d1b7ed3a2bb3cc560e60641573c17814e8,2bcdafc4887d6147dd6100e85be1e7dc5cb4a9f921d21cbd0677791504b953495c3ed6c12c6fa510b9fd93cf0a9ba84a97969e9daa517d3afcc11a4eca369c7e
Mario Artist: Polygon Studio@マリオアーティスト ポリゴンスタジオ,Mario Artist: Polygon Studio@Mario Artist マリオアーティスト ポリゴンスタジオ,marioartistpolygonstudio,Japan,2000-08-29,Nintendo,Nintendo,#players:1 #genre:notagame>application #addon:peripheral>64dd:expansion>expasionpak:mouse>n64 #save:backup #search:feature>mario #lang:ja,da23ee561578b7dad77ed72728b46d30,4e4f267d2d063286bf4c1302386dab8b1ab0d4c6,a601ae1a9caef9f60a81b343351ea222bd1270671e1be546d6c4f4b680315f09,339170e918230ac827568247650bdf8edf72c19ca2d0a1e729d77e51233d67c3b58d6068fe79cafc0c96fff5d9aaf88cc72589a4b7b116a999b5fdad75ae52a6
Mario Artist: Talent Studio@マリオアーティスト タレントスタジオ,Mario Artist: Talent Studio@Mario Artist マリオアーティスト タレントスタジオ,marioartisttalentstudio,Japan,2000-02-23,Nintendo,Nintendo,#players:1 #genre:notagame>application #addon:peripheral>64dd:expansion>expasionpak:lockon>transferpak:pocketcamera:mic>n64:capturecassette:mouse>n64 #save:backup #search:feature>mario #lang:ja,88228e990b58a94e9b3460beff632304,24ca7508157466e5d289ee49c2c714806d1ecce2,cb4d3f841e8405c4bcb760aad6ef9496def6aa1cac7b2f9e54fe7085b6bf8536,d3f61f5d79a6b3f5ccbac37e98ee3d928809aa9cd54529568129f230ebc99ea679727969ec51c4702084b7e3d075fb748a804bfe944f7c66a200f07569389025
Nihon Pro Golf Tour 64@日本プロゴルフツアー64,Nihon Pro Golf Tour 64@日本プロゴルフツアー64: Japan Pro-Golf Tour 64,nihonprogolftour64,Japan,2000-05-02,SETA,Media Factory,#players:4:vs #genre:sports>golf #addon:peripheral>64dd:expansion>expasionpak:online>randnetmodem #save:backup #search:keyword>official #lang:ja,9f797a9c704b5ebd04d6a2b036309af2,053140bd97c525804747251dea3211fe55357b77,a563340e1e4877ecfb5e8523d3dc5758d0d047e0d70177e54020cab4219c3532,d7a0cd3f70c1c2fa3b340680097a1feb26aa116c06c62ab1ecd2d3609e9f70e53b3214c1bffd20ea53c65b49db1da16964648cb3569777da7ef530a58b32de13
Randnet@ランドネット,Randnet Disk@ランドネット ランドネットディスク,randnetdisk,Japan,2000-02-23,Randnet,RandnetDD,#players:1 #genre:notagame>application #addon:peripheral>64dd:expansion>expasionpak:online>randnetmodem:keyboard>n64 #lang:ja,26087e0750fc6da0f3de2a431e34bddf,9ade854221962f5f4c68ea0615951dd948896c1b,58819e9e194c6f82641121c19db7c485311ca72d373fe02239146406f0b15677,2ec4834f323fa02dfb3071a70fb9f205193efe04e3f8651fe941e78b18abf391fb8ee558fea493e6fe58b2f527d50ebbedc05c7c5e2c6538fdd0ef4937f63f9e
Randnet@ランドネット,Randnet Disk@ランドネット ランドネットディスク,randnetdisk,Japan,,Randnet,Nintendo,#players:1 #genre:notagame>application #addon:peripheral>64dd:expansion>expasionpak:online>randnetmodem:keyboard>n64 #lang:ja #rev:1,33cbc59786063285dc3c090e0ed312e3,a7d7a1e4e7dd02b628433070a65bf5c1a063c13b,cbf11e7ca1bae6dcc06714fa06e766ec925cf5068553a9db1a81caa17409a011,cada562957310c8f2b46db169cebb3b13f81698ac72a69cc1d82146b264ef94a376b2bc53af5be11deb4ba88fbc7b80b9a7fd08335909b73c2b3024029deebcf
SimCity 64@シムシティー64 SimCity 64,SimCity 64@シムシティー64 SimCity 64,simcity64,Japan,2000-02-23,Maxis/HAL Laboratory,Nintendo,#players:1 #genre:sim>building #addon:peripheral>64dd:expansion>expasionpak:online>randnetmodem #lang:ja,ebba03f20096fc2bc178fc3a1f4ec2b6,5d7d5046d702dcc0ea56ce1b96eb90f0c984b51a,c89a2d6132b3a110a382b801668809720f6c1827c7f4dea12ef6bb5ee14abb39,31befaeb7b9f612a94656550a65e592210c4bfa2bae260daa85cfdd8758041ce3874e900b7acf183c0f38498fc0891f778c05c8ec2bd411eb1cd206c2d779d3d
Super Mario: Disk Version,Super Mario 64: Disk-ban@Super Mario 64 スーパーマリオ　ディスク版,supermario64,Japan,,Nintendo EAD,Nintendo,#players:1 #genre:action>platformer #addon:peripheral>64dd:expansion>expasionpak #save:backup #search:feature>mario #lang:ja #unfinished:proto,d9ea905727b44f2774926cb03c2300a7,e8f5c3f0e151cbc3b02184a2437e39fa9d1e2686,817aa7d30158156070645588d0ce7131d395c206410d8b26fa566bee0b1050ae,a752db1f7d4fa166e7f65a323b2c1558e61fa74e3110b5fb88857683813e7385f5b91c9d9a0614c7521846f543fa6bf0ed4c78cb31ac9510b55ec14781c49b4b
